股票代號,股票名稱,收盤價,月平均價
"03037P","中興電凱基24售05","","0.27"
"030380","台塑群益25購01","1.03","1.16"
"030381","遠東新群益25購01","0.65","1.10"
"030382","和大群益25購01","1.47","1.87"
"030383","華新群益25購02","3.12","3.51"
"030384","華新群益25購03","4.77","5.05"
"030385","聯電群益25購05","","1.97"
"030386","金寶群益25購02","0.75","0.86"
"030387","仁寶群益25購01","1.33","1.07"
"030389","晶豪科群益25購02","","1.38"
"03038P","怡利電凱基23售02","","0.70"
"030390","大立光群益25購12","1.58","1.73"
"030391","智原群益25購04","1.72","2.06"
"030392","世芯群益25購02","2.10","2.34"
"030393","世芯群益25購03","2.63","3.00"
"030394","致伸群益26購01","","2.05"
"030395","啟碁群益25購02","1.61","2.44"
"030396","道瓊反元大26購02","0.73","0.64"
"030397","道瓊反元大27購02","0.65","0.61"
"030398","SGBR2X元大27購02","0.75","0.80"
"030399","SGBR2X元大28購01","","0.97"
"03039P","華擎凱基23售01","","0.09"
"030400","FB越南元大27購01","0.97","1.04"
"030401","中砂元大25購06","1.07","1.42"
"030402","華新元大25購09","2.42","2.70"
"030403","華新元大25購10","2.66","2.95"
"030404","華新元大29購04","2.50","2.69"
